epoch,loss,lr,val_loss
0,0.0009740383247844875,1e-04,0.000768043682910502
1,0.0008496788213960826,1e-04,0.0006622514920309186
2,0.0006892222445458174,1e-04,0.0006155386799946427
3,0.0005739173502661288,1e-04,0.0004988383152522147
4,0.0005173498648218811,1e-04,0.00044940673978999257
5,0.00048283179057762027,1e-04,0.0004763061588164419
6,0.000440011965110898,1e-04,0.0004309570067562163
7,0.0004217889509163797,1e-04,0.0004626080044545233
8,0.0003816423995885998,1e-04,0.0004083144885953516
9,0.0003418363630771637,1e-04,0.00042935024248436093
10,0.0003414482926018536,1e-04,0.0004156116337981075
11,0.0002964859886560589,1e-04,0.0004135245399083942
12,0.000255045568337664,1e-04,0.00040829158388078213
13,0.0002347359259147197,1e-04,0.0003869640058837831
14,0.00019615536439232528,1e-04,0.00039206366636790335
15,0.00016931291611399502,1e-04,0.00043151815771125257
16,0.0001576005161041394,1e-04,0.0004032454453408718
17,0.00013895571464672685,1e-04,0.0004178894741926342
18,0.00011216933489777148,1e-04,0.00044383868225850165
19,8.736171730561182e-05,5e-05,0.00041658501140773296
20,7.325573824346066e-05,5e-05,0.00039184800698421896
21,6.95636190357618e-05,5e-05,0.0004063687229063362
22,6.390789349097759e-05,5e-05,0.0004385513311717659
23,6.039663276169449e-05,5e-05,0.00042634777491912246
24,5.888452869839966e-05,5e-05,0.0004041206557303667
25,5.3274812671588734e-05,5e-05,0.00039857556112110615
26,4.584062480716966e-05,2.5e-05,0.00041686129407025874
27,4.232608625898138e-05,2.5e-05,0.00043731494224630296
28,4.23946330556646e-05,2.5e-05,0.0004223629948683083
29,4.012897261418402e-05,2.5e-05,0.00041944719851017
30,4.1246159526053816e-05,2.5e-05,0.00042330793803557754
31,3.692888276418671e-05,2.5e-05,0.00043355542584322393
32,3.8211113860597834e-05,2.5e-05,0.0003988155513070524
33,3.736496364581399e-05,1.25e-05,0.00041011517168954015
