epoch,loss,lr,val_loss
0,0.00015839721891097724,1e-04,0.0001413043646607548
1,0.0001295220135943964,1e-04,8.538137626601383e-05
2,0.00012704348773695529,1e-04,7.4152005254291e-05
3,3.131823905277997e-05,1e-04,2.7037149266107008e-05
4,1.8705199181567878e-05,1e-04,2.6619702111929655e-05
5,1.4888722034811508e-05,1e-04,1.840811819420196e-05
6,1.738929859129712e-05,1e-04,3.0219245672924444e-05
7,8.429455192526802e-06,1e-04,9.229187526216265e-06
8,4.576838819048135e-06,1e-04,1.2403310392983258e-05
9,3.5264977213955717e-06,1e-04,1.1948208339163102e-05
10,2.5479894247837365e-06,1e-04,1.2216138202347793e-05
11,2.1540924990404164e-06,1e-04,1.2036065527354367e-05
12,1.864638079496217e-06,1e-04,1.5239032109093387e-05
13,1.6937199234234868e-06,5e-05,1.548396176076494e-05
14,1.5902967334113782e-06,5e-05,1.2180875273770653e-05
15,1.4923703020031098e-06,5e-05,9.763913112692535e-06
16,1.4607123830501223e-06,5e-05,1.3622951883007772e-05
17,1.451613798053586e-06,5e-05,1.2108810551580973e-05
18,1.3563956144935219e-06,5e-05,1.3165134987502825e-05
19,1.287026293539384e-06,5e-05,1.1954789442825131e-05
20,1.1895591569555108e-06,2.5e-05,1.0910522178164683e-05
21,1.1296347111056093e-06,2.5e-05,1.2529931154858787e-05
22,1.1114865401395946e-06,2.5e-05,9.801791748031974e-06
23,1.1076285773015115e-06,2.5e-05,1.1089378858741838e-05
24,1.0635538956194068e-06,2.5e-05,1.1025470485037658e-05
25,1.0147509783564601e-06,2.5e-05,1.581067954248283e-05
26,1.0030703379015904e-06,2.5e-05,1.260823046322912e-05
27,9.430353316020046e-07,1.25e-05,1.1372367225703783e-05
