epoch,loss,lr,val_loss
0,0.0009247867274098098,1e-04,0.0007775278645567596
1,0.0007415301515720785,1e-04,0.0006103381747379899
2,0.0005898021045140922,1e-04,0.0004846518859267235
3,0.0005054469802416861,1e-04,0.0004479397612158209
4,0.00045757301268167794,1e-04,0.0004346907662693411
5,0.0004099466896150261,1e-04,0.00044326012721285224
6,0.00037212733877822757,1e-04,0.0004581945831887424
7,0.00037651124875992537,1e-04,0.0004399653116706759
8,0.00030616048024967313,1e-04,0.00041577458614483476
9,0.0002729932020884007,1e-04,0.00041257854900322855
10,0.00024531330564059317,1e-04,0.0003858608251903206
11,0.00019960170902777463,1e-04,0.00036665177321992815
12,0.00018983097106684,1e-04,0.0003743898996617645
13,0.0001561121898703277,1e-04,0.00042810183367691934
14,0.00013900513295084238,1e-04,0.00041184891597367823
15,0.00012017556582577527,1e-04,0.0004128105938434601
16,0.0001102801033994183,1e-04,0.00039237868622876704
17,7.311587978620082e-05,5e-05,0.00040802182047627866
18,6.518707959912717e-05,5e-05,0.00038642348954454064
19,5.739640982937999e-05,5e-05,0.0003946738434024155
20,5.335927562555298e-05,5e-05,0.0003965306968893856
21,5.0184549763798714e-05,5e-05,0.0004703504964709282
22,4.506607001530938e-05,5e-05,0.0003906507045030594
23,4.281430665287189e-05,5e-05,0.0004088408313691616
24,3.5501685488270596e-05,2.5e-05,0.0004294148529879749
25,3.218076017219573e-05,2.5e-05,0.00043198675848543644
26,3.084733907599002e-05,2.5e-05,0.00041704773320816457
27,3.0809082090854645e-05,2.5e-05,0.0004238261317368597
28,2.8743656002916396e-05,2.5e-05,0.00038885808316990733
29,2.655750904523302e-05,2.5e-05,0.00043694357736967504
30,2.7208448955207132e-05,2.5e-05,0.00043389652273617685
31,2.5080706109292805e-05,1.25e-05,0.0004200612602289766
