epoch,loss,lr,val_loss
0,0.002874914789572358,1e-04,0.0026446653064340353
1,0.0022210730239748955,1e-04,0.0016485953237861395
2,0.0010380686726421118,1e-04,0.001665658550336957
3,0.0006264512776397169,1e-04,0.001651831902563572
4,0.00039419851964339614,1e-04,0.0018266591941937804
5,0.00025102056679315865,1e-04,0.0017180859576910734
6,0.00018460824503563344,1e-04,0.002012919168919325
7,0.00010948817362077534,5e-05,0.001958554144948721
8,8.418931975029409e-05,5e-05,0.0018483992898836732
9,7.284897583303973e-05,5e-05,0.0019720045384019613
10,5.103787771076895e-05,5e-05,0.0018729830626398325
11,4.5360011426964775e-05,5e-05,0.0018589518731459975
12,4.434530274011195e-05,5e-05,0.0019912575371563435
13,3.7838370190002024e-05,5e-05,0.0019007375231012702
14,2.6245543267577887e-05,2.5e-05,0.0019111199071630836
15,2.5828876459854655e-05,2.5e-05,0.0019409075612202287
16,2.475015753589105e-05,2.5e-05,0.0019881417974829674
17,2.323191802133806e-05,2.5e-05,0.001922469586133957
18,2.2735572201781906e-05,2.5e-05,0.0019616626668721437
19,2.2038186216377653e-05,2.5e-05,0.0019329633796587586
20,2.2466512746177614e-05,2.5e-05,0.0019153349567204714
21,1.913619962579105e-05,1.25e-05,0.001975203864276409
